epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.2035,2.42663,5.88903,1.61427,0.00015,0.04545,8e-05,3e-05,2.49954,7.92804,1.95817,2e-05,2e-05,2e-05
2,84.3322,2.09381,5.38546,1.5435,0,0,0,0,2.21552,7.31529,1.82904,5.9406e-05,5.9406e-05,5.9406e-05
3,130.941,2.08976,5.18928,1.42041,0,0,0,0,1.93625,6.90869,1.73114,9.802e-05,9.802e-05,9.802e-05
4,167.524,2.17973,5.28997,1.38299,0.00045,0.13636,0.00028,7e-05,1.94743,6.18561,1.64227,0.000135842,0.000135842,0.000135842
5,195.943,1.7768,4.95577,1.16777,0.00061,0.18182,0.00045,0.00029,1.88076,5.93301,1.52684,0.000172872,0.000172872,0.000172872
6,220.041,1.99745,3.8243,1.28608,0.00106,0.31818,0.00101,0.00056,1.76996,5.65263,1.39882,0.00020911,0.00020911,0.00020911
7,250.177,2.39301,3.96853,1.46586,0.00182,0.54545,0.00224,0.0012,1.56061,5.37562,1.23348,0.000244556,0.000244556,0.000244556
8,281.231,1.96398,3.09821,1.22855,0.00227,0.68182,0.00257,0.00133,1.50973,5.17319,1.17936,0.00027921,0.00027921,0.00027921
9,318.926,1.83341,3.14694,1.3217,0.00242,0.72727,0.0026,0.00134,1.52053,5.21058,1.18594,0.000313072,0.000313072,0.000313072
10,353.048,1.76323,2.58947,1.15038,0.00273,0.81818,0.00333,0.00156,1.55492,5.12338,1.17052,0.000346142,0.000346142,0.000346142
11,375.927,1.87039,2.9804,1.19902,0.00258,0.77273,0.00277,0.00126,1.56367,4.96519,1.1789,0.00037842,0.00037842,0.00037842
12,397.207,1.90952,2.95411,1.19253,0.00242,0.72727,0.00235,0.00094,1.5039,4.95061,1.19508,0.000409906,0.000409906,0.000409906
13,416.82,1.51751,2.62047,1.19747,0.00197,0.59091,0.00167,0.00075,1.38964,5.06396,1.18621,0.0004406,0.0004406,0.0004406
14,447.279,1.66747,2.82784,1.2283,0.00167,0.5,0.0104,0.00509,1.40462,5.02253,1.17508,0.000470502,0.000470502,0.000470502
15,472.399,1.69507,2.66719,1.17065,0.00167,0.5,0.00313,0.00105,1.45038,4.96576,1.2004,0.000499612,0.000499612,0.000499612
