epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.45674,2.85972,4.16185,2.4145,0.00333,1,0.00401,0.0008,3.05543,6.82376,2.6614,0,0,0
2,2.83597,2.38368,5.03731,2.29323,0.00333,1,0.004,0.0012,2.86133,7.07458,2.59834,1.9802e-05,1.9802e-05,1.9802e-05
3,4.20829,4.0441,4.11112,3.1611,0.00333,1,0.00404,0.00121,2.8623,6.95972,2.61593,3.9208e-05,3.9208e-05,3.9208e-05
4,5.48793,2.22027,5.28546,2.03664,0.00333,1,0.00413,0.00124,2.87163,6.82497,2.63582,5.8218e-05,5.8218e-05,5.8218e-05
5,7.3645,2.84464,6.44692,2.25662,0.00333,1,0.00416,0.00167,2.90689,6.53953,2.62592,7.6832e-05,7.6832e-05,7.6832e-05
6,8.94294,2.84902,4.29439,2.48712,0.00333,1,0.00416,0.00125,3.02003,5.99203,2.78072,9.505e-05,9.505e-05,9.505e-05
7,10.5322,3.02972,4.34644,2.46637,0.00333,1,0.00348,0.00035,2.53196,5.52453,2.84624,0.000112872,0.000112872,0.000112872
8,12.3428,2.52725,4.42464,2.26188,0,0,0,0,2.27597,5.24624,2.75947,0.000130298,0.000130298,0.000130298
9,14.227,2.08586,4.0221,2.03442,0.00333,1,0.00375,0.00038,2.49917,5.2796,2.89047,0.000147328,0.000147328,0.000147328
10,15.9285,0,7.49217,0,0.00333,1,0.00381,0.00076,2.71873,5.20155,2.9704,0.000163962,0.000163962,0.000163962
11,17.5095,0,7.40817,0,0.00333,1,0.0035,0.0007,2.80608,5.88847,3.05303,0.0001802,0.0001802,0.0001802
12,19.0039,1.97987,4.82126,1.71624,0.00333,1,0.00334,0.001,2.77546,5.70953,2.97517,0.000196042,0.000196042,0.000196042
13,20.3983,0,7.31064,0,0,0,0,0,2.70991,6.264,2.72936,0.000211488,0.000211488,0.000211488
14,21.6855,2.74123,4.63265,2.26309,0,0,0,0,2.7198,6.05208,2.61096,0.000226538,0.000226538,0.000226538
15,23.1095,4.01195,7.62541,2.32758,0,0,0,0,2.71836,5.37641,2.73251,0.000241192,0.000241192,0.000241192
16,24.5574,1.99061,5.06652,2.74445,0,0,0,0,2.23528,5.8041,2.86552,0.00025545,0.00025545,0.00025545
17,26.3481,1.31676,4.04692,1.5659,0,0,0,0,2.13648,5.08668,2.85519,0.000269312,0.000269312,0.000269312
18,27.7118,1.78025,3.98449,1.6608,0,0,0,0,2.13648,5.08668,2.85519,0.000282778,0.000282778,0.000282778
19,29.0049,1.38631,4.63758,1.39454,0,0,0,0,1.82412,5.61477,2.73831,0.000295848,0.000295848,0.000295848
20,30.296,1.70849,4.19656,1.48393,0,0,0,0,1.82412,5.61477,2.73831,0.000308522,0.000308522,0.000308522
21,31.9014,1.49485,4.02451,1.47,0.00333,1,0.00335,0.00034,2.00271,5.48729,2.72425,0.0003208,0.0003208,0.0003208
22,33.1027,1.2368,3.522,1.32999,0.00333,1,0.00335,0.00034,2.00271,5.48729,2.72425,0.000332682,0.000332682,0.000332682
23,34.5296,1.70467,5.71192,1.64697,0,0,0,0,2.12182,5.19273,2.7554,0.000344168,0.000344168,0.000344168
24,35.8988,2.52128,4.53127,2.36516,0,0,0,0,2.12182,5.19273,2.7554,0.000355258,0.000355258,0.000355258
25,37.172,1.35529,3.80929,1.32691,0,0,0,0,1.98112,5.1338,2.68295,0.000365952,0.000365952,0.000365952
26,38.4555,1.06315,3.39711,1.13608,0,0,0,0,1.98112,5.1338,2.68295,0.00037625,0.00037625,0.00037625
27,40.0213,1.07439,3.86403,1.28475,0,0,0,0,1.65766,5.37379,2.56888,0.000386152,0.000386152,0.000386152
28,41.329,1.11036,4.50186,1.84841,0,0,0,0,1.65766,5.37379,2.56888,0.000395658,0.000395658,0.000395658
29,43.0167,1.20966,3.04484,1.23121,0,0,0,0,1.34594,4.91326,2.4063,0.000404768,0.000404768,0.000404768
30,43.8585,0,7.24039,0,0,0,0,0,1.34594,4.91326,2.4063,0.000413482,0.000413482,0.000413482
31,44.7411,0.44822,3.31639,0.98131,0,0,0,0,1.32703,4.94163,2.40443,0.0004218,0.0004218,0.0004218
32,45.5539,1.57439,2.99835,1.31738,0,0,0,0,1.32703,4.94163,2.40443,0.000429722,0.000429722,0.000429722
33,46.4085,1.01912,3.379,1.19162,0,0,0,0,1.42764,4.85343,2.40338,0.000437248,0.000437248,0.000437248
34,47.1946,2.12306,2.87699,2.02742,0,0,0,0,1.42764,4.85343,2.40338,0.000444378,0.000444378,0.000444378
35,48.021,4.74575,7.57509,3.61284,0,0,0,0,1.32323,4.8526,2.18647,0.000451112,0.000451112,0.000451112
