epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.4948,2.79287,5.72922,2.14055,0.00015,0.04545,8e-05,3e-05,2.55781,8.01362,1.99012,2e-05,2e-05,2e-05
2,51.3443,2.59362,5.15263,1.87157,0,0,0,0,2.39851,7.60157,1.90826,5.9406e-05,5.9406e-05,5.9406e-05
3,73.5036,2.37903,5.31257,1.71545,0,0,0,0,2.28791,7.17866,1.86662,9.802e-05,9.802e-05,9.802e-05
4,94.4157,2.37224,4.71257,1.59454,0,0,0,0,2.11353,6.83003,1.75106,0.000135842,0.000135842,0.000135842
5,115.438,2.03309,4.89742,1.38704,0.00015,0.04545,8e-05,3e-05,1.94212,6.22001,1.59966,0.000172872,0.000172872,0.000172872
6,137.696,2.47011,4.54339,1.58721,0.00045,0.13636,0.00032,0.00021,1.98863,5.7345,1.50499,0.00020911,0.00020911,0.00020911
7,174.112,2.17771,4.09755,1.51499,0.00167,0.5,0.00169,0.00058,1.88869,5.52701,1.36145,0.000244556,0.000244556,0.000244556
8,212.241,2.1757,3.44012,1.44657,0.00197,0.59091,0.00172,0.00064,1.9142,5.30911,1.36892,0.00027921,0.00027921,0.00027921
9,249.187,1.99461,3.59229,1.35502,0.00227,0.68182,0.00204,0.00069,1.91852,5.29454,1.3364,0.000313072,0.000313072,0.000313072
10,287.516,1.93894,3.65546,1.34007,0.00076,0.22727,0.00057,0.00017,1.79356,5.2047,1.27864,0.000346142,0.000346142,0.000346142
11,325.466,2.00392,3.89349,1.51158,0.00061,0.18182,0.00037,0.00016,1.6882,5.15032,1.23308,0.00037842,0.00037842,0.00037842
12,363.929,2.38042,3.44821,1.5289,0.00061,0.18182,0.00036,0.00017,1.60773,5.20913,1.22191,0.000409906,0.000409906,0.000409906
13,401.87,1.88112,3.25996,1.36211,0.00061,0.18182,0.00038,0.00014,1.74932,5.06239,1.27734,0.0004406,0.0004406,0.0004406
14,440.349,1.81202,2.77767,1.3056,0.00242,0.72727,0.00248,0.00073,1.73493,5.03715,1.2702,0.000470502,0.000470502,0.000470502
15,478.498,1.82384,3.13578,1.28652,0.00273,0.81818,0.00297,0.00095,1.67811,4.90153,1.25348,0.000499612,0.000499612,0.000499612
16,515.906,1.7848,2.50971,1.3308,0.00273,0.81818,0.00297,0.00102,1.62488,4.79314,1.23483,0.00052793,0.00052793,0.00052793
17,554.948,2.13434,2.87569,1.36091,0.00258,0.77273,0.00287,0.00087,1.53495,4.79771,1.228,0.000555456,0.000555456,0.000555456
18,593.426,1.92702,2.8792,1.41272,0.00242,0.72727,0.00269,0.00096,1.53848,5.07096,1.24438,0.00058219,0.00058219,0.00058219
19,631.342,1.81066,2.45997,1.29429,0.00242,0.72727,0.00276,0.00072,1.71256,5.17263,1.30892,0.000608132,0.000608132,0.000608132
20,669.55,1.86246,3.19109,1.34354,0.00242,0.72727,0.00258,0.00064,1.83894,6.37593,1.39174,0.000633282,0.000633282,0.000633282
21,708.227,1.71294,2.40351,1.2237,0.00167,0.5,0.00147,0.00049,1.88221,4.80621,1.41123,0.00065764,0.00065764,0.00065764
22,747.662,1.84137,2.7506,1.40966,0.00197,0.59091,0.00164,0.00053,1.72362,4.79422,1.31717,0.000681206,0.000681206,0.000681206
23,784.828,1.76635,2.38124,1.30524,0.00182,0.54545,0.00149,0.00055,1.7364,4.94724,1.33719,0.00070398,0.00070398,0.00070398
24,819.969,1.74486,2.57449,1.46016,0.00212,0.63636,0.00242,0.00079,1.80427,4.93997,1.30658,0.000725962,0.000725962,0.000725962
25,855.466,1.79123,2.59738,1.35697,0.00258,0.77273,0.00294,0.00106,1.86483,6.23138,1.32002,0.000747152,0.000747152,0.000747152
26,891.339,1.6202,2.36995,1.30976,0.00258,0.77273,0.00427,0.00156,1.84598,4.92377,1.26801,0.00076755,0.00076755,0.00076755
27,926.585,2.13682,2.53756,1.53045,0.00273,0.81818,0.01035,0.00305,1.82416,4.34294,1.30469,0.000787156,0.000787156,0.000787156
28,961.821,1.64561,2.39713,1.42045,0.00273,0.81818,0.01035,0.00305,1.82416,4.34294,1.30469,0.00080597,0.00080597,0.00080597
29,997.744,1.79404,2.36199,1.4394,0.00288,0.86364,0.00702,0.00228,1.77784,4.32597,1.34521,0.000823992,0.000823992,0.000823992
30,1032.47,1.79585,2.94941,1.27974,0.00242,0.72727,0.00601,0.00192,1.77397,4.58345,1.343,0.000841222,0.000841222,0.000841222
31,1067.58,2.13492,2.29115,1.47082,0.00242,0.72727,0.00601,0.00192,1.77397,4.58345,1.343,0.00085766,0.00085766,0.00085766
32,1103.39,1.90543,2.49166,1.2961,0.00197,0.59091,0.02894,0.00621,1.85125,4.61986,1.38365,0.000873306,0.000873306,0.000873306
33,1130.66,1.81565,2.55977,1.25076,0.00152,0.45455,0.02691,0.00573,1.98174,4.59671,1.41556,0.00088816,0.00088816,0.00088816
34,1151.97,1.78353,2.49621,1.32261,0.00152,0.45455,0.02691,0.00573,1.98174,4.59671,1.41556,0.000902222,0.000902222,0.000902222
35,1171.64,1.77639,2.56614,1.3414,0.13193,0.18182,0.06222,0.01778,1.99337,4.34264,1.39932,0.000915492,0.000915492,0.000915492
36,1190.95,2.09613,2.52538,1.43722,0.14444,0.09091,0.11908,0.0397,1.94412,4.02973,1.37378,0.00092797,0.00092797,0.00092797
37,1210.5,1.68102,2.59052,1.21345,0.14444,0.09091,0.11908,0.0397,1.94412,4.02973,1.37378,0.000939656,0.000939656,0.000939656
38,1230.74,1.80822,2.22555,1.26754,0.14203,0.09091,0.11892,0.03951,1.86211,3.94862,1.31891,0.00095055,0.00095055,0.00095055
39,1251.86,1.78243,2.80775,1.33997,0.00273,0.81818,0.08342,0.0414,1.83854,4.08943,1.32093,0.000960652,0.000960652,0.000960652
40,1272.65,1.88526,2.39791,1.33259,0.00273,0.81818,0.08342,0.0414,1.83854,4.08943,1.32093,0.000969962,0.000969962,0.000969962
41,1292.24,1.80233,2.42134,1.36486,0.00242,0.72727,0.05611,0.03133,1.74167,4.1265,1.28329,0.00097848,0.00097848,0.00097848
42,1312.02,1.9905,2.39909,1.44713,1,0.07347,0.17502,0.06176,1.8678,4.02807,1.3721,0.000986206,0.000986206,0.000986206
43,1332.38,1.80003,2.19994,1.29792,1,0.07347,0.17502,0.06176,1.8678,4.02807,1.3721,0.00099314,0.00099314,0.00099314
44,1353.13,1.72289,2.13785,1.28484,1,0.17106,0.42414,0.1578,1.92742,3.64564,1.44157,0.000999282,0.000999282,0.000999282
45,1374.47,1.84274,2.4807,1.39392,1,0.17106,0.42414,0.1578,1.92742,3.64564,1.44157,0.00100463,0.00100463,0.00100463
46,1394.32,1.56674,2.1809,1.31885,0.84993,0.22727,0.38992,0.16403,1.83506,3.40631,1.42744,0.00100919,0.00100919,0.00100919
47,1414.83,1.36287,1.79516,1.23198,0.84993,0.22727,0.38992,0.16403,1.83506,3.40631,1.42744,0.00101296,0.00101296,0.00101296
48,1434.9,1.61307,1.92862,1.24496,0.09414,0.22727,0.05991,0.02825,1.64773,3.53345,1.35698,0.00101593,0.00101593,0.00101593
49,1455.45,1.7451,2.396,1.55814,0.09414,0.22727,0.05991,0.02825,1.64773,3.53345,1.35698,0.00101811,0.00101811,0.00101811
