epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,640.529,2.68114,5.04193,2.01929,0.00167,0.5,0.00163,0.00053,2.09047,4.56998,1.50453,0.000658228,0.000658228,0.000658228
2,1162.46,2.41201,3.72341,1.83128,0.51325,0.22727,0.23237,0.08989,2.06363,2.74918,1.56161,0.00131615,0.00131615,0.00131615
3,1716.03,2.37999,3.22714,1.80289,0.6463,0.5,0.52533,0.19949,2.03175,2.61753,1.54531,0.00196527,0.00196527,0.00196527
4,2164.8,2.34268,2.92784,1.74069,0.42846,0.59091,0.413,0.15145,1.91423,2.70977,1.51061,0.0019604,0.0019604,0.0019604
5,2741.65,2.31302,2.88977,1.7199,0.38569,0.31818,0.32538,0.12568,2.00546,2.39109,1.51778,0.0019472,0.0019472,0.0019472
6,3281.62,2.2889,2.83453,1.71133,0.5204,0.54545,0.44114,0.1957,1.92013,2.02545,1.44843,0.001934,0.001934,0.001934
7,3819.12,2.27428,2.7285,1.69734,0.38515,0.40909,0.38486,0.17121,2.0025,2.38657,1.50395,0.0019208,0.0019208,0.0019208
8,4362.95,2.22651,2.74654,1.69839,0.52926,0.40909,0.48303,0.18405,1.962,2.02218,1.49844,0.0019076,0.0019076,0.0019076
9,4885.09,2.23778,2.73528,1.69433,0.57666,0.43411,0.44964,0.23194,1.86703,1.82252,1.38643,0.0018944,0.0018944,0.0018944
10,5339.29,2.17945,2.6441,1.63239,0.46702,0.5,0.44478,0.17219,1.95537,1.93719,1.46484,0.0018812,0.0018812,0.0018812
11,5751.76,2.16912,2.62139,1.62442,0.41151,0.5,0.41237,0.207,1.93779,1.95939,1.45896,0.001868,0.001868,0.001868
12,6163.35,2.17571,2.62147,1.63844,0.40838,0.40909,0.34444,0.16342,1.8856,2.1646,1.4562,0.0018548,0.0018548,0.0018548
13,6573.71,2.12179,2.55645,1.62507,0.52875,0.54545,0.43033,0.21877,1.91104,1.86525,1.44292,0.0018416,0.0018416,0.0018416
14,6983.48,2.09968,2.53982,1.60892,0.5711,0.66618,0.59811,0.25541,1.92001,1.64179,1.44363,0.0018284,0.0018284,0.0018284
15,7398.26,2.14128,2.55364,1.61398,0.33205,0.36364,0.35941,0.14319,2.08688,2.16388,1.55162,0.0018152,0.0018152,0.0018152
16,7814.03,2.1223,2.589,1.62128,0.49757,0.58538,0.47838,0.23803,1.88149,1.91058,1.44113,0.001802,0.001802,0.001802
17,8228.27,2.10042,2.50085,1.59604,0.41433,0.45455,0.46399,0.22352,2.02527,1.97082,1.49328,0.0017888,0.0017888,0.0017888
18,8772.61,2.08624,2.50288,1.59002,0.5444,0.45455,0.4942,0.1777,1.95486,1.91134,1.50067,0.0017756,0.0017756,0.0017756
19,9526.52,2.09796,2.51165,1.58793,0.58974,0.39277,0.4613,0.16107,2.29068,1.93275,1.68438,0.0017624,0.0017624,0.0017624
20,9948.16,2.13028,2.48358,1.64387,0.55868,0.54545,0.52305,0.18036,1.98855,2.00794,1.47665,0.0017492,0.0017492,0.0017492
21,10423.3,2.07343,2.45698,1.5905,0.57278,0.59091,0.52998,0.24981,1.82056,1.87302,1.39232,0.001736,0.001736,0.001736
22,10900.9,2.05594,2.46127,1.58643,0.54484,0.54545,0.53136,0.20499,1.92362,1.82879,1.42224,0.0017228,0.0017228,0.0017228
23,11380,2.02913,2.40847,1.55895,0.45908,0.59091,0.48285,0.26192,1.84419,1.73901,1.38032,0.0017096,0.0017096,0.0017096
24,11857.5,2.04662,2.43004,1.58088,0.71879,0.45455,0.50884,0.23521,1.73112,1.85243,1.34294,0.0016964,0.0016964,0.0016964
25,12306.7,2.06423,2.40843,1.58972,0.35333,0.54545,0.37076,0.13253,1.97246,1.95099,1.4934,0.0016832,0.0016832,0.0016832
26,12753.8,2.02955,2.37467,1.57072,0.60842,0.49466,0.56312,0.23431,1.81609,1.84502,1.3945,0.00167,0.00167,0.00167
27,13204.6,2.01115,2.41244,1.55196,0.62376,0.52808,0.59395,0.28004,1.71731,1.68272,1.32471,0.0016568,0.0016568,0.0016568
28,13657.2,1.99401,2.33732,1.53938,0.64448,0.49469,0.51693,0.22041,1.95664,1.75768,1.43306,0.0016436,0.0016436,0.0016436
29,14109,1.98087,2.33565,1.53541,0.62733,0.54545,0.59332,0.24673,1.82831,1.96775,1.43038,0.0016304,0.0016304,0.0016304
30,14557.8,1.96785,2.29714,1.52739,0.5916,0.45455,0.51007,0.20275,1.82307,1.8432,1.41067,0.0016172,0.0016172,0.0016172
31,15805.8,1.95327,2.33135,1.50959,0.80465,0.40909,0.54836,0.22689,1.81311,1.86453,1.37128,0.001604,0.001604,0.001604
32,16245.1,1.98185,2.33596,1.53689,0.44014,0.50029,0.4529,0.18721,1.79446,1.9227,1.37358,0.0015908,0.0015908,0.0015908
33,16693.7,1.95435,2.28632,1.50747,0.54786,0.5,0.45937,0.18044,1.85689,1.88674,1.37627,0.0015776,0.0015776,0.0015776
34,17141.2,1.94756,2.21057,1.518,0.44673,0.62422,0.50671,0.23626,1.9546,1.79837,1.46855,0.0015644,0.0015644,0.0015644
35,17592.5,1.94964,2.21395,1.53151,0.71436,0.45455,0.56717,0.20133,1.88841,1.81547,1.41523,0.0015512,0.0015512,0.0015512
36,18031.2,1.93195,2.18185,1.4877,0.64249,0.57237,0.60648,0.27134,1.85745,1.64319,1.35691,0.001538,0.001538,0.001538
37,18479.6,1.90121,2.17996,1.49343,0.81404,0.45455,0.60468,0.26795,1.86881,1.68031,1.38801,0.0015248,0.0015248,0.0015248
38,18924.1,1.92064,2.15573,1.49856,0.60065,0.45455,0.54106,0.1908,1.93943,1.90262,1.43577,0.0015116,0.0015116,0.0015116
39,19370.8,1.91878,2.17321,1.50295,0.68377,0.54545,0.59208,0.24462,1.77843,1.69686,1.37182,0.0014984,0.0014984,0.0014984
