epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.3388,3.1828,6.20843,2.41329,0,0,0,0,2.05189,5.85595,1.69622,0.00018,0.00018,0.00018
2,7.79545,2.42213,4.64034,1.76168,0.00258,0.77273,0.00399,0.00119,1.74982,4.67202,1.24528,0.000378495,0.000378495,0.000378495
3,11.4206,2.09782,3.51897,1.47586,0.00242,0.72727,0.00423,0.00136,1.83269,4.49612,1.24182,0.000575406,0.000575406,0.000575406
4,15.0703,2.01403,3.14661,1.40696,0.00167,0.5,0.00197,0.00063,1.94847,4.49059,1.45365,0.000770734,0.000770734,0.000770734
5,18.5869,1.97954,2.85685,1.38414,0.00121,0.36364,0.00208,0.00064,2.19012,4.32048,1.75165,0.000964477,0.000964477,0.000964477
6,22.1145,1.98654,2.71375,1.39426,0.00091,0.27273,0.00084,0.00027,2.25336,3.9239,1.73232,0.00115664,0.00115664,0.00115664
7,25.653,1.9011,2.45615,1.35636,1,0.11049,0.19186,0.09001,1.804,3.13518,1.46046,0.00134721,0.00134721,0.00134721
8,29.2989,1.89958,2.43209,1.37234,0.73856,0.27273,0.33346,0.1698,1.84817,2.77618,1.49562,0.0015362,0.0015362,0.0015362
9,32.9638,1.89431,2.33974,1.37628,0.2217,0.63636,0.2873,0.12034,2.06444,2.42448,1.62625,0.00172361,0.00172361,0.00172361
10,36.4674,1.91103,2.20919,1.3794,0.41621,0.18182,0.15934,0.10428,1.95942,2.99213,1.62459,0.00190943,0.00190943,0.00190943
11,40.0052,1.88187,2.12691,1.38208,0.04652,0.04545,0.00895,0.00497,1.93059,10.5131,1.4756,0.0019208,0.0019208,0.0019208
12,43.4963,1.85268,2.07544,1.34616,0.33768,0.31818,0.26647,0.13862,1.95658,3.45807,1.5188,0.00191288,0.00191288,0.00191288
13,47.0386,1.81117,1.94606,1.33553,0.1929,0.18182,0.091,0.0548,1.96156,5.64836,1.52136,0.00190496,0.00190496,0.00190496
14,50.5525,1.84295,1.97537,1.34055,0.23806,0.36364,0.17776,0.05522,2.09669,12.611,1.65593,0.00189704,0.00189704,0.00189704
15,54.0917,1.82428,1.87078,1.32819,0.15255,0.5,0.13762,0.06377,2.09576,2.93477,1.4826,0.00188912,0.00188912,0.00188912
16,57.6108,1.79013,1.83828,1.32978,0.39344,0.59091,0.42397,0.18266,1.97708,2.07168,1.44851,0.0018812,0.0018812,0.0018812
17,61.2536,1.76482,1.79048,1.32239,0.58619,0.38713,0.32862,0.1702,2.00665,2.24827,1.47006,0.00187328,0.00187328,0.00187328
18,64.7511,1.75098,1.74432,1.31283,0.45246,0.45455,0.46884,0.22211,1.98724,2.02708,1.43517,0.00186536,0.00186536,0.00186536
19,68.4217,1.78103,1.74716,1.31558,0.69437,0.5,0.43762,0.21787,1.89377,2.08829,1.42925,0.00185744,0.00185744,0.00185744
20,71.9302,1.74931,1.70341,1.29694,0.6213,0.5,0.45596,0.26426,1.83821,2.3604,1.41078,0.00184952,0.00184952,0.00184952
21,75.6469,1.72332,1.67333,1.27571,0.67067,0.5,0.44746,0.23062,1.88408,1.96261,1.37117,0.0018416,0.0018416,0.0018416
22,79.1919,1.70615,1.56933,1.27579,0.59592,0.53664,0.46429,0.24627,1.69684,1.82188,1.30026,0.00183368,0.00183368,0.00183368
23,82.6947,1.70392,1.61652,1.26559,0.66462,0.45455,0.47253,0.2518,1.82672,2.20784,1.38528,0.00182576,0.00182576,0.00182576
24,86.2357,1.68076,1.56519,1.26253,0.60189,0.63636,0.59408,0.33127,1.88978,1.71974,1.45369,0.00181784,0.00181784,0.00181784
25,89.884,1.67642,1.52416,1.2532,0.65489,0.59091,0.58031,0.29985,1.76007,1.69877,1.3554,0.00180992,0.00180992,0.00180992
26,93.4027,1.68313,1.53688,1.26406,0.67988,0.68182,0.59892,0.33467,1.79404,1.96809,1.36208,0.001802,0.001802,0.001802
27,97.0325,1.67311,1.50215,1.24875,0.80342,0.5,0.58979,0.28103,1.86601,1.79834,1.36587,0.00179408,0.00179408,0.00179408
28,100.551,1.61572,1.4487,1.23065,0.73741,0.54545,0.64378,0.31696,1.80037,1.58788,1.38322,0.00178616,0.00178616,0.00178616
29,104.094,1.62774,1.39154,1.23469,0.63778,0.45455,0.56302,0.27792,1.83117,1.56785,1.44711,0.00177824,0.00177824,0.00177824
