epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.0925,2.64384,5.4327,1.90549,0,0,0,0,2.43071,7.31298,1.91665,0.00014,0.00014,0.00014
2,106.17,2.25529,4.303,1.65214,0.00045,0.13636,0.00034,0.00014,2.15391,5.87343,1.56071,0.00029802,0.00029802,0.00029802
3,165.108,2.22823,3.75757,1.57426,0.00091,0.27273,0.00073,0.00021,2.05092,5.3738,1.46198,0.000453928,0.000453928,0.000453928
4,257.498,1.9697,3.52084,1.40533,0.00076,0.22727,0.00054,0.00012,1.84112,5.1479,1.40345,0.000607724,0.000607724,0.000607724
5,354.105,1.96625,3.06563,1.46539,0.00182,0.54545,0.00161,0.00043,1.83661,5.08926,1.39451,0.000759408,0.000759408,0.000759408
6,446.248,1.95024,2.88433,1.46803,0.00242,0.72727,0.00231,0.00077,1.92959,4.89646,1.39587,0.00090898,0.00090898,0.00090898
7,523.087,1.9658,2.9331,1.42166,0.00242,0.72727,0.00596,0.00276,2.00026,4.95492,1.39544,0.00105644,0.00105644,0.00105644
8,584.544,2.0336,3.01279,1.39166,0.01813,0.36364,0.14142,0.06624,1.86329,4.39634,1.31898,0.00120179,0.00120179,0.00120179
9,645.615,2.0162,2.86501,1.39563,1,0.08854,0.18167,0.06579,1.80676,4.45974,1.2791,0.00134502,0.00134502,0.00134502
10,714.737,2.06351,2.79822,1.46019,0.27149,0.18182,0.12238,0.05235,1.86844,4.185,1.3196,0.00148615,0.00148615,0.00148615
11,772.011,1.95558,2.63734,1.43656,0.25033,0.24333,0.1781,0.06959,2.08567,4.05756,1.51011,0.00162516,0.00162516,0.00162516
12,827.786,2.06356,2.77493,1.47891,0.27111,0.25414,0.20951,0.08466,1.86081,3.6082,1.40749,0.00176206,0.00176206,0.00176206
13,888.412,2.06298,2.79023,1.55899,0.27901,0.15922,0.20184,0.10316,1.8983,3.49656,1.48031,0.0018416,0.0018416,0.0018416
14,945.339,2.05639,2.63308,1.54416,0.04941,0.22727,0.03886,0.01507,2.09038,4.0661,1.6159,0.0018284,0.0018284,0.0018284
15,1005.08,2.04315,2.58391,1.49966,0.54393,0.31818,0.39648,0.18862,1.83741,3.117,1.42789,0.0018152,0.0018152,0.0018152
16,1066.28,1.92883,2.47376,1.44937,0.17933,0.18182,0.07823,0.0363,2.04119,3.66414,1.54587,0.001802,0.001802,0.001802
17,1112.16,1.94708,2.40352,1.44318,0.45117,0.09091,0.26288,0.10288,2.11514,3.40876,1.60026,0.0017888,0.0017888,0.0017888
18,1159.14,1.94071,2.43771,1.4302,0.69087,0.59091,0.60114,0.28961,1.72065,2.31326,1.37224,0.0017756,0.0017756,0.0017756
19,1205.05,2.04222,2.35042,1.46263,0.81492,0.60089,0.6549,0.33533,1.76273,2.26037,1.405,0.0017624,0.0017624,0.0017624
20,1250.36,1.96189,2.19348,1.47626,0.86209,0.40909,0.52809,0.2991,1.75631,2.52754,1.3936,0.0017492,0.0017492,0.0017492
21,1297.88,1.90587,2.39755,1.36596,0.52341,0.36364,0.41585,0.21422,1.8886,2.43314,1.53405,0.001736,0.001736,0.001736
22,1378.24,1.91232,2.2724,1.42409,0.31275,0.54545,0.35956,0.18637,1.83483,2.30457,1.48661,0.0017228,0.0017228,0.0017228
23,1456.99,1.88971,2.29374,1.38584,0.55185,0.22727,0.20951,0.09255,2.11487,3.49641,1.85232,0.0017096,0.0017096,0.0017096
24,1536.09,1.90387,2.21286,1.39281,0.80727,0.22727,0.29896,0.12553,2.04731,3.03804,1.63327,0.0016964,0.0016964,0.0016964
25,1616.86,1.88814,2.05758,1.45297,0.62609,0.31818,0.35822,0.17906,2.02874,2.76778,1.62211,0.0016832,0.0016832,0.0016832
26,1674.1,1.90881,2.03871,1.46539,0.5975,0.40909,0.47005,0.26321,1.70826,2.26751,1.34722,0.00167,0.00167,0.00167
27,1715.49,1.93712,2.13193,1.45047,0.3481,0.5,0.36476,0.18775,1.80254,2.3579,1.40173,0.0016568,0.0016568,0.0016568
28,1757.44,1.91993,2.11511,1.42789,0.59744,0.45455,0.39059,0.21121,1.75096,2.31211,1.36906,0.0016436,0.0016436,0.0016436
29,1799.39,1.90475,2.08238,1.38837,0.72211,0.5,0.56748,0.28056,1.66277,1.89688,1.29052,0.0016304,0.0016304,0.0016304
30,1841.99,1.85449,2.00795,1.43701,0.66114,0.45455,0.57023,0.20553,1.83987,2.01077,1.37647,0.0016172,0.0016172,0.0016172
31,1884.15,1.92474,2.04125,1.45219,0.6346,0.63172,0.56972,0.19182,1.94076,2.19279,1.44271,0.001604,0.001604,0.001604
32,1926.57,1.8607,1.99938,1.35945,0.5211,0.59091,0.49169,0.21591,1.84614,2.20234,1.39719,0.0015908,0.0015908,0.0015908
33,1968.78,1.8797,1.97043,1.34805,0.48954,0.5,0.39054,0.14678,2.02538,2.23348,1.49381,0.0015776,0.0015776,0.0015776
34,2010.39,1.90429,1.9447,1.3993,0.7056,0.54476,0.57043,0.23251,1.89692,2.00781,1.43626,0.0015644,0.0015644,0.0015644
35,2052.08,1.85254,1.91336,1.39024,0.67327,0.56256,0.5984,0.24994,1.89699,1.9466,1.402,0.0015512,0.0015512,0.0015512
36,2093.48,1.85836,1.92615,1.41244,0.80829,0.57559,0.62611,0.2773,1.81625,1.91912,1.37652,0.001538,0.001538,0.001538
37,2135.26,1.76221,1.93419,1.33316,0.86551,0.54545,0.66331,0.33181,1.77999,1.96416,1.36895,0.0015248,0.0015248,0.0015248
38,2177.55,1.85367,1.8203,1.36526,0.7207,0.63636,0.65412,0.32907,1.79327,1.95943,1.39167,0.0015116,0.0015116,0.0015116
39,2220.54,1.8118,1.83525,1.3511,0.51479,0.59091,0.53677,0.22135,1.95166,2.05536,1.47603,0.0014984,0.0014984,0.0014984
40,2262.41,1.80554,1.87834,1.39225,0.85476,0.5356,0.64892,0.30964,1.83165,1.84449,1.41741,0.0014852,0.0014852,0.0014852
41,2305.34,1.75375,1.73243,1.39508,0.90075,0.59091,0.68304,0.3691,1.72301,1.78928,1.35319,0.001472,0.001472,0.001472
42,2347.17,1.77434,1.85843,1.35932,0.78827,0.67713,0.68909,0.41848,1.66009,1.72048,1.31268,0.0014588,0.0014588,0.0014588
43,2388.89,1.81713,1.88498,1.41296,0.84662,0.54545,0.68879,0.33839,1.82319,1.73118,1.38076,0.0014456,0.0014456,0.0014456
44,2430.7,1.81432,1.82499,1.38656,0.63526,0.59091,0.61367,0.30061,1.92974,1.77024,1.42468,0.0014324,0.0014324,0.0014324
45,2472.51,1.81452,1.71372,1.35432,0.58896,0.54545,0.64148,0.35396,1.83522,1.57884,1.39866,0.0014192,0.0014192,0.0014192
46,2514.35,1.87043,1.91992,1.38509,0.90467,0.5,0.7039,0.39154,1.80247,1.47082,1.39725,0.001406,0.001406,0.001406
47,2555.93,1.80725,1.67525,1.36401,0.92346,0.63636,0.76374,0.37455,1.78954,1.58104,1.39256,0.0013928,0.0013928,0.0013928
48,2597.85,1.77347,1.73032,1.34431,0.76625,0.63636,0.69521,0.37207,1.7651,1.73287,1.36193,0.0013796,0.0013796,0.0013796
49,2640.01,1.84925,1.76907,1.36792,0.78975,0.68302,0.70332,0.38496,1.6989,1.73033,1.32656,0.0013664,0.0013664,0.0013664
50,2681.63,1.72554,1.69228,1.33179,0.82555,0.64573,0.74649,0.35075,1.87511,1.74981,1.37321,0.0013532,0.0013532,0.0013532
51,2723.31,1.73635,1.66416,1.32619,0.76619,0.63636,0.68281,0.34868,1.84022,1.64311,1.36171,0.00134,0.00134,0.00134
52,2765.18,1.74984,1.81998,1.32044,0.866,0.58775,0.73026,0.38848,1.79888,1.48438,1.32753,0.0013268,0.0013268,0.0013268
53,2807.84,1.803,1.64269,1.37933,0.67882,0.68182,0.71843,0.32084,1.95131,1.58074,1.42718,0.0013136,0.0013136,0.0013136
54,2849.44,1.79414,1.66185,1.37368,0.75392,0.63636,0.67092,0.30784,1.98794,1.60454,1.4849,0.0013004,0.0013004,0.0013004
55,2891.23,1.7195,1.59782,1.3389,0.88811,0.59091,0.68796,0.34882,1.8363,1.55951,1.39593,0.0012872,0.0012872,0.0012872
56,2933.03,1.77926,1.60972,1.35651,0.52217,0.63636,0.55573,0.26302,1.98279,1.89281,1.4665,0.001274,0.001274,0.001274
57,2974.74,1.80076,1.60433,1.39677,0.70444,0.40909,0.56315,0.2495,2.05063,1.84155,1.50128,0.0012608,0.0012608,0.0012608
58,3016.71,1.7524,1.5845,1.38136,0.79643,0.68182,0.74274,0.30814,1.973,1.58146,1.45996,0.0012476,0.0012476,0.0012476
59,3058.56,1.80574,1.74843,1.3903,0.81482,0.59091,0.72102,0.32879,1.83562,1.63131,1.39836,0.0012344,0.0012344,0.0012344
60,3100.37,1.74681,1.68594,1.33913,0.6717,0.59091,0.65619,0.30311,1.83332,1.67621,1.37606,0.0012212,0.0012212,0.0012212
61,3142.14,1.72603,1.65243,1.32835,0.61728,0.68182,0.6723,0.32537,1.79823,1.6071,1.35898,0.001208,0.001208,0.001208
62,3184.56,1.78614,1.5936,1.30919,0.65721,0.72727,0.71752,0.35451,1.78706,1.55839,1.35805,0.0011948,0.0011948,0.0011948
63,3227.25,1.74898,1.60792,1.32217,0.76114,0.72436,0.71535,0.3651,1.79012,1.60975,1.37877,0.0011816,0.0011816,0.0011816
64,3272.49,1.72269,1.67329,1.35198,0.60579,0.72727,0.65955,0.32984,1.89356,1.56386,1.41442,0.0011684,0.0011684,0.0011684
65,3318.27,1.80137,1.56789,1.34906,0.66222,0.63636,0.63586,0.29034,1.87006,1.54049,1.39921,0.0011552,0.0011552,0.0011552
66,3360.15,1.69985,1.51659,1.28989,0.87238,0.68182,0.74171,0.38499,1.84439,1.39565,1.37814,0.001142,0.001142,0.001142
67,3403.23,1.68546,1.58642,1.28061,0.93223,0.62583,0.7426,0.40907,1.79996,1.40969,1.34051,0.0011288,0.0011288,0.0011288
68,3444.87,1.68164,1.5909,1.26899,0.71481,0.63636,0.69841,0.39668,1.75172,1.48377,1.32526,0.0011156,0.0011156,0.0011156
69,3486.85,1.70933,1.53813,1.30177,0.9401,0.54545,0.70489,0.33948,1.79571,1.60228,1.3525,0.0011024,0.0011024,0.0011024
70,3528.42,1.64768,1.46527,1.26048,0.72404,0.54545,0.59276,0.25556,2.05401,1.871,1.46658,0.0010892,0.0010892,0.0010892
71,3570.66,1.74956,1.56602,1.30899,0.63706,0.63838,0.58755,0.28054,1.923,1.71651,1.40789,0.001076,0.001076,0.001076
72,3612.33,1.66759,1.54203,1.3161,0.67333,0.56271,0.60475,0.25997,1.86377,1.80025,1.40057,0.0010628,0.0010628,0.0010628
73,3654.18,1.65736,1.59589,1.27938,0.68363,0.68778,0.69408,0.34846,1.7924,1.52688,1.35718,0.0010496,0.0010496,0.0010496
74,3696.09,1.72483,1.5486,1.29395,0.75006,0.77273,0.75548,0.36184,1.82691,1.38229,1.36597,0.0010364,0.0010364,0.0010364
75,3738.49,1.6795,1.47088,1.25718,0.87937,0.66336,0.76676,0.32592,1.87219,1.39215,1.38273,0.0010232,0.0010232,0.0010232
76,3790.89,1.70138,1.53388,1.29167,0.83152,0.67343,0.71605,0.31029,1.92803,1.52207,1.41409,0.00101,0.00101,0.00101
77,3841.7,1.71699,1.53325,1.30289,0.90236,0.5,0.66171,0.30766,1.90152,1.56488,1.39888,0.0009968,0.0009968,0.0009968
78,3893.02,1.65158,1.42456,1.2861,1,0.61888,0.73201,0.36109,1.80198,1.49122,1.36661,0.0009836,0.0009836,0.0009836
79,3944.07,1.65951,1.50917,1.29076,0.84893,0.63636,0.74628,0.35086,1.89927,1.52238,1.39627,0.0009704,0.0009704,0.0009704
80,3994.18,1.71267,1.43237,1.3026,0.66939,0.64453,0.65812,0.29617,1.93254,1.60091,1.40458,0.0009572,0.0009572,0.0009572
81,4045.22,1.66259,1.44633,1.28923,0.62724,0.59091,0.62161,0.27329,1.91948,1.77222,1.40473,0.000944,0.000944,0.000944
82,4095.57,1.65975,1.55469,1.27788,0.78494,0.49785,0.57375,0.24839,1.94391,1.7172,1.41687,0.0009308,0.0009308,0.0009308
83,4144.92,1.63223,1.44916,1.2867,0.82905,0.59091,0.66339,0.32994,1.81098,1.51211,1.36927,0.0009176,0.0009176,0.0009176
84,4193.86,1.72535,1.52201,1.35299,0.88538,0.59091,0.68967,0.36356,1.75816,1.51794,1.33529,0.0009044,0.0009044,0.0009044
85,4243.53,1.77184,1.5355,1.33947,0.86003,0.63636,0.68113,0.33363,1.88597,1.58197,1.40416,0.0008912,0.0008912,0.0008912
86,4292.88,1.61828,1.46597,1.27625,0.86136,0.63636,0.69251,0.34145,1.93498,1.57649,1.40631,0.000878,0.000878,0.000878
87,4342.84,1.64017,1.43301,1.27206,0.86241,0.57059,0.68528,0.32831,1.91664,1.57854,1.38457,0.0008648,0.0008648,0.0008648
88,4392.53,1.68959,1.42725,1.29856,0.81227,0.59009,0.63843,0.30983,1.84854,1.56295,1.35597,0.0008516,0.0008516,0.0008516
89,4441.79,1.62214,1.33069,1.24479,0.61933,0.66602,0.65786,0.32915,1.83886,1.47664,1.36483,0.0008384,0.0008384,0.0008384
90,4491.23,1.64129,1.44803,1.27311,0.62596,0.63636,0.62837,0.314,1.92278,1.57864,1.41583,0.0008252,0.0008252,0.0008252
91,4540.68,1.60261,1.44764,1.29593,0.70049,0.68182,0.63871,0.30757,1.91618,1.60173,1.40767,0.000812,0.000812,0.000812
92,4590.26,1.58116,1.33727,1.27611,0.71392,0.68066,0.71419,0.3464,1.88302,1.5081,1.39269,0.0007988,0.0007988,0.0007988
93,4641.51,1.66742,1.38993,1.25776,0.76555,0.63636,0.72261,0.3839,1.78282,1.36154,1.33614,0.0007856,0.0007856,0.0007856
94,4692.41,1.5475,1.24411,1.18728,0.66885,0.72727,0.74195,0.39161,1.80995,1.37645,1.36403,0.0007724,0.0007724,0.0007724
95,4742.18,1.58977,1.37042,1.24075,0.9758,0.63636,0.77,0.38413,1.85461,1.37769,1.38594,0.0007592,0.0007592,0.0007592
96,4792.3,1.59478,1.39532,1.25115,0.72451,0.68182,0.70258,0.39024,1.82802,1.40654,1.37199,0.000746,0.000746,0.000746
97,4841.86,1.61986,1.31397,1.23615,0.67398,0.68182,0.67999,0.38749,1.73481,1.38338,1.32484,0.0007328,0.0007328,0.0007328
